NIEODCZYTANE:
Abilify Maintena | 300 mg | 'Rp ¦ EU/1/13/882/001 ¦ 88101\n1 fiol.  proszku ¦ 2 strzykawki  jałowe ¦ 3 igły  do wstrzyknięć podskórnych + 1 łącznik fiolki ¦ 1 fiol. 2 ml rozp. ¦ 1 igła  do rekonstytucji\nRp ¦ EU/1/13/882/003 ¦ 88102\n3 fiol.  proszku ¦ 3 fiol. 2 ml rozp. ¦ 9 igieł  do wstrzyknięć podskórnych + 3 łączniki fiolki ¦ 6 strzykawek  jałowych ¦ 3 igły  do rekonstytucji\nRp ¦ EU/1/13/882/005 ¦ 118861\n1 amp.-strzyk.  ¦ 3 '
Adasuve | 4,5 mg | 'Rpz ¦ EU/1/13/823/003 ¦ 88218\n1 inhalator \nRpz ¦ EU/1/13/823/001 ¦ 88219\n5 inhalator'
Adasuve | 9,1 mg | 'Rpz ¦ EU/1/13/823/002 ¦ 88220\n5 inhalator \nRpz ¦ EU/1/13/823/004 ¦ 88221\n1 inhalator'
Axura | 20 mg | 'Rpz ¦ EU/1/02/218/017 ¦ 88286\n14 tabl.\nRpz ¦ EU/1/02/218/018 ¦ 88287\n28 tabl.\nRpz ¦ EU/1/02/218/019 ¦ 88288\n42 tabl.\nRpz ¦ EU/1/02/218/020 ¦ 88289\n56 tabl.\nRpz ¦ EU/1/02/218/021 ¦ 88290\n98 tabl.\nRpz ¦ EU/1/02/218/022 ¦ 88291\n840 tabl.\nRpz ¦ EU/1/02/218/024 ¦ 88292\n14 tabl.\nRpz ¦ EU/1/02/218/025 ¦ 88293\n28 tabl.\nRpz ¦ EU/1/02/218/026 ¦ 88294\n42 tabl.\nRpz ¦ EU/1/02/218/027 ¦ 88295\n56 tabl.\nRpz ¦ EU/'
Axura | 5 mg; 10 mg; 15 mg; 20 mg | 'Rpz ¦ EU/1/02/218/023 ¦ 88203\n1 op. \nRpz ¦ EU/1/02/218/016 ¦ 119065\n1 op.'
Ebixa | 20 mg | 'Rpz ¦ EU/1/02/219/023 ¦ 88760\n14 tabl.\nRpz ¦ EU/1/02/219/024 ¦ 88761\n28 tabl.\nRpz ¦ EU/1/02/219/025 ¦ 88762\n42 tabl.\nRpz ¦ EU/1/02/219/027 ¦ 88763\n56 tabl.\nRpz ¦ EU/1/02/219/029 ¦ 88764\n70 tabl.\nRpz ¦ EU/1/02/219/030 ¦ 88765\n84 tabl.\nRpz ¦ EU/1/02/219/031 ¦ 88766\n98 tabl.\nRpz ¦ EU/1/02/219/034 ¦ 88767\n112 tabl.\nRpz ¦ EU/1/02/219/035 ¦ 88768\n840 tabl.\nRpz ¦ EU/1/02/219/037 ¦ 88769\n14 tabl.\nRpz ¦ EU'
Ebixa | 5 mg; 10 mg; 15 mg; 20 mg | 'Rpz ¦ EU/1/02/219/022 ¦ 88798\n1 zestaw \nRpz ¦ EU/1/02/219/036 ¦ 88799\n1 zestaw'
Fycompa | 2 mg | 'Rp ¦ EU/1/12/776/001 ¦ 88892\n7 tabl.\nRp ¦ EU/1/12/776/017 ¦ 88893\n28 tabl.\nRp ¦ EU/1/12/776/018 ¦ 88894\n98 tabl.'
Fycompa | 4 mg | 'Rp ¦ EU/1/12/776/002 ¦ 88895\n7 tabl.\nRp ¦ EU/1/12/776/003 ¦ 88896\n28 tabl.\nRp ¦ EU/1/12/776/004 ¦ 88897\n84 tabl.\nRp ¦ EU/1/12/776/019 ¦ 88898\n98 tabl.'
Fycompa | 6 mg | 'Rp ¦ EU/1/12/776/005 ¦ 88899\n7 tabl.\nRp ¦ EU/1/12/776/006 ¦ 88900\n28 tabl.\nRp ¦ EU/1/12/776/007 ¦ 88901\n84 tabl.\nRp ¦ EU/1/12/776/020 ¦ 88902\n98 tabl.'
Fycompa | 8 mg | 'Rp ¦ EU/1/12/776/008 ¦ 88903\n7 tabl.\nRp ¦ EU/1/12/776/009 ¦ 88904\n28 tabl.\nRp ¦ EU/1/12/776/010 ¦ 88905\n84 tabl.\nRp ¦ EU/1/12/776/021 ¦ 88906\n98 tabl.'
