# Substancje z kartami DRUG_DB_PSYCHIATRIA_CORE -> wzorzec w nazwie łacińskiej RPL
SERTRALINA sertral
ESCYTALOPRAM escitalopram
FLUOKSETYNA fluoxetin
PAROKSETYNA paroxetin
WENLAFAKSYNA venlafaxin
DULOKSETYNA duloxetin
MIRTAZAPINA mirtazapin
TRAZODON trazodon
BUPROPION bupropion
KWETIAPINA quetiapin
OLANZAPINA olanzapin
ARYPIPRAZOL aripiprazol
RISPERIDON risperidon
HALOPERIDOL haloperidol
WALPROINIAN valpro
LAMOTRYGINA lamotrigin
PREGABALINA pregabalin
AMITRYPTYLINA amitriptylin
KLOMIPRAMINA clomipramin
DOKSEPINA doxepin
IMIPRAMINA imipramin
ZOPIKLON zopiclon
ALPRAZOLAM alprazolam
LORAZEPAM lorazepam
HYDROKSYZYNA hydroxyzin
BUSPIRON buspiron
ATOMOKSETYNA atomoxetin
METYLOFENIDAT methylphenid
AGOMELATYNA agomelatin
ZOLPIDEM zolpidem
KLONAZEPAM clonazepam
TEMAZEPAM temazepam
BROMAZEPAM bromazepam
DIAZEPAM diazepam
ESTAZOLAM estazolam
LIT lithi
