# Tematy przeglądu PubMed. Format: ETYKIETA | zapytanie PubMed (tytuł/abstrakt)
# LEKI (karty CORE)
SERTRALINA | sertraline[tiab]
ESCYTALOPRAM | escitalopram[tiab]
FLUOKSETYNA | fluoxetine[tiab]
PAROKSETYNA | paroxetine[tiab]
WENLAFAKSYNA | venlafaxine[tiab] OR desvenlafaxine[tiab]
DULOKSETYNA | duloxetine[tiab]
MIRTAZAPINA | mirtazapine[tiab]
TRAZODON | trazodone[tiab]
BUPROPION | bupropion[tiab]
WORTIOKSETYNA | vortioxetine[tiab]
AGOMELATYNA | agomelatine[tiab]
KWETIAPINA | quetiapine[tiab]
OLANZAPINA | olanzapine[tiab]
ARYPIPRAZOL | aripiprazole[tiab] OR brexpiprazole[tiab] OR cariprazine[tiab]
RISPERIDON | risperidone[tiab] OR paliperidone[tiab]
HALOPERIDOL | haloperidol[tiab]
KLOZAPINA | clozapine[tiab]
LURAZYDON | lurasidone[tiab]
LIT | lithium[tiab]
WALPROINIAN | valproate[tiab] OR valproic[tiab]
LAMOTRYGINA | lamotrigine[tiab]
PREGABALINA | pregabalin[tiab] OR gabapentin[tiab]
TCA | amitriptyline[tiab] OR clomipramine[tiab] OR doxepin[tiab] OR imipramine[tiab]
BENZODIAZEPINY | benzodiazepine*[tiab] OR alprazolam[tiab] OR lorazepam[tiab] OR clonazepam[tiab] OR diazepam[tiab]
Z-LEKI | zolpidem[tiab] OR zopiclone[tiab] OR eszopiclone[tiab]
HYDROKSYZYNA | hydroxyzine[tiab]
ADHD-LEKI | methylphenidate[tiab] OR atomoxetine[tiab] OR lisdexamfetamine[tiab]
ESKETAMINA | esketamine[tiab] OR ketamine[tiab]
# ROZPOZNANIA (leczenie)
DEPRESJA | (depressi*[ti] OR "major depressive disorder"[tiab]) AND (treatment[tiab] OR therap*[tiab] OR antidepress*[tiab])
DEPRESJA-LEKOOPORNA | "treatment-resistant depression"[tiab] OR "difficult-to-treat depression"[tiab]
CHAD | bipolar[ti]
SCHIZOFRENIA | schizophreni*[ti] OR psychos*[ti]
LĘK | "generalized anxiety"[tiab] OR "panic disorder"[tiab] OR "social anxiety"[tiab]
OCD | obsessive-compulsive[tiab]
PTSD | "posttraumatic stress"[tiab] OR "post-traumatic stress"[tiab] OR PTSD[ti]
ADHD-DOROŚLI | ADHD[ti] AND adult*[tiab]
BEZSENNOŚĆ | insomnia[ti]
OKOŁOPORODOWE | (perinatal[tiab] OR postpartum[tiab] OR pregnan*[tiab] OR lactation[tiab] OR breastfeeding[tiab]) AND (antidepress*[tiab] OR antipsychotic*[tiab] OR psychotropic*[tiab] OR lithium[tiab] OR lamotrigine[tiab])
